Jumlah Input	Jumlah Epoch	Jumlah Neuron	Jumlah Batch Size	Akurasi (%)
2	45	12	8	17.50%
2	45	12	4	20.00%
2	45	12	2	21.25%
2	50	12	32	11.25%
2	50	12	16	18.75%
2	50	12	8	20.00%
2	50	12	4	20.00%
2	50	12	2	26.25%
2	5	14	32	11.25%
2	5	14	16	7.50%
2	5	14	8	11.25%
2	5	14	4	12.50%
2	5	14	2	15.00%
2	10	14	32	13.75%
2	10	14	16	12.50%
2	10	14	8	12.50%
2	10	14	4	12.50%
2	10	14	2	17.50%
2	15	14	32	12.50%
2	15	14	16	15.00%
2	15	14	8	16.25%
2	15	14	4	18.75%
2	15	14	2	18.75%
2	20	14	32	13.75%
2	20	14	16	15.00%
2	20	14	8	15.00%
2	20	14	4	21.25%
2	20	14	2	20.00%
2	25	14	32	16.25%
2	25	14	16	15.00%
2	25	14	8	16.25%
2	25	14	4	16.25%
2	25	14	2	20.00%
2	30	14	32	17.50%
2	30	14	16	20.00%
2	30	14	8	13.75%
2	30	14	4	17.50%
2	30	14	2	20.00%
2	35	14	32	13.75%
2	35	14	16	8.75%
2	35	14	8	11.25%
2	35	14	4	21.25%
2	35	14	2	23.75%
2	40	14	32	16.25%
2	40	14	16	17.50%
2	40	14	8	20.00%
2	40	14	4	20.00%
2	40	14	2	23.75%
2	45	14	32	16.25%
2	45	14	16	15.00%
2	45	14	8	13.75%
2	45	14	4	21.25%
2	45	14	2	21.25%
2	50	14	32	18.75%
2	50	14	16	16.25%
2	50	14	8	28.75%
2	50	14	4	21.25%
2	50	14	2	22.50%
2	5	16	32	13.75%
2	5	16	16	13.75%
2	5	16	8	12.50%
2	5	16	4	11.25%
2	5	16	2	15.00%
2	10	16	32	13.75%
2	10	16	16	18.75%
2	10	16	8	13.75%
2	10	16	4	15.00%
2	10	16	2	20.00%
2	15	16	32	3.75%
2	15	16	16	10.00%
2	15	16	8	15.00%
2	15	16	4	10.00%
2	15	16	2	16.25%
2	20	16	32	15.00%
2	20	16	16	10.00%
2	20	16	8	18.75%
2	20	16	4	15.00%
2	20	16	2	21.25%
2	25	16	32	11.25%
2	25	16	16	13.75%
2	25	16	8	18.75%
2	25	16	4	17.50%
2	25	16	2	21.25%
2	30	16	32	10.00%
2	30	16	16	16.25%
2	30	16	8	8.75%
2	30	16	4	21.25%
2	30	16	2	17.50%
2	35	16	32	13.75%
2	35	16	16	20.00%
2	35	16	8	15.00%
2	35	16	4	20.00%
2	35	16	2	22.50%
2	40	16	32	8.75%
2	40	16	16	20.00%
2	40	16	8	20.00%
2	40	16	4	20.00%
2	40	16	2	22.50%
2	45	16	32	16.25%
2	45	16	16	17.50%
2	45	16	8	20.00%
2	45	16	4	22.50%
2	45	16	2	25.00%
2	50	16	32	16.25%
2	50	16	16	17.50%
2	50	16	8	17.50%
2	50	16	4	25.00%
2	50	16	2	21.25%
Jumlah Input	Jumlah Epoch	Jumlah Neuron	Jumlah Batch Size	Akurasi (%)
4	5	2	32	17.50%
4	5	2	16	15.00%
4	5	2	8	12.50%
4	5	2	4	16.25%
4	5	2	2	13.75%
4	10	2	32	12.50%
4	10	2	16	16.25%
4	10	2	8	16.25%
4	10	2	4	12.50%
4	10	2	2	12.50%
4	15	2	32	12.50%
4	15	2	16	12.50%
4	15	2	8	11.25%
4	15	2	4	13.75%
4	15	2	2	17.50%
4	20	2	32	15.00%
4	20	2	16	13.75%
4	20	2	8	10.00%
4	20	2	4	16.25%
4	20	2	2	15.00%
4	25	2	32	11.25%
4	25	2	16	12.50%
4	25	2	8	11.25%
4	25	2	4	12.50%
4	25	2	2	18.75%
4	30	2	32	12.50%
4	30	2	16	11.25%
4	30	2	8	12.50%
4	30	2	4	18.75%
4	30	2	2	12.50%
4	35	2	32	12.50%
4	35	2	16	18.75%
4	35	2	8	17.50%
4	35	2	4	12.50%
4	35	2	2	18.75%
4	40	2	32	13.75%
4	40	2	16	11.25%
4	40	2	8	20.00%
4	40	2	4	15.00%
4	40	2	2	20.00%
4	45	2	32	10.00%
4	45	2	16	12.50%
4	45	2	8	15.00%
4	45	2	4	20.00%
4	45	2	2	21.25%
4	50	2	32	18.75%
4	50	2	16	15.00%
4	50	2	8	15.00%
4	50	2	4	15.00%
4	50	2	2	23.75%
4	5	4	32	13.75%
4	5	4	16	10.00%
4	5	4	8	12.50%
4	5	4	4	15.00%
4	5	4	2	11.25%
4	10	4	32	15.00%
4	10	4	16	16.25%
4	10	4	8	11.25%
4	10	4	4	11.25%
4	10	4	2	11.25%
4	15	4	32	10.00%
4	15	4	16	15.00%
4	15	4	8	11.25%
4	15	4	4	20.00%
4	15	4	2	20.00%
4	20	4	32	12.50%
4	20	4	16	13.75%
4	20	4	8	5.00%
4	20	4	4	13.75%
4	20	4	2	15.00%
4	25	4	32	11.25%
4	25	4	16	20.00%
4	25	4	8	16.25%
4	25	4	4	13.75%
4	25	4	2	22.50%
4	30	4	32	11.25%
4	30	4	16	8.75%
4	30	4	8	18.75%
4	30	4	4	15.00%
4	30	4	2	20.00%
4	35	4	32	18.75%
4	35	4	16	17.50%
4	35	4	8	20.00%
4	35	4	4	20.00%
4	35	4	2	25.00%
4	40	4	32	16.25%
4	40	4	16	13.75%
4	40	4	8	18.75%
4	40	4	4	21.25%
4	40	4	2	13.75%
4	45	4	32	21.25%
4	45	4	16	20.00%
4	45	4	8	26.25%
4	45	4	4	15.00%
4	45	4	2	17.50%
4	50	4	32	15.00%
4	50	4	16	11.25%
4	50	4	8	12.50%
4	50	4	4	21.25%
4	50	4	2	28.75%
4	5	8	32	6.25%
4	5	8	16	12.50%
4	5	8	8	18.75%
4	5	8	4	12.50%
4	5	8	2	17.50%
4	10	8	32	16.25%
4	10	8	16	21.25%
4	10	8	8	13.75%
4	10	8	4	8.75%
4	10	8	2	15.00%
4	15	8	32	18.75%
4	15	8	16	13.75%
4	15	8	8	12.50%
4	15	8	4	21.25%
4	15	8	2	16.25%
4	20	8	32	15.00%
4	20	8	16	20.00%
4	20	8	8	18.75%
4	20	8	4	22.50%
4	20	8	2	18.75%
4	25	8	32	10.00%
4	25	8	16	18.75%
4	25	8	8	10.00%
4	25	8	4	12.50%
4	25	8	2	31.25%
4	30	8	32	13.75%
4	30	8	16	17.50%
4	30	8	8	12.50%
4	30	8	4	18.75%
4	30	8	2	23.75%
4	35	8	32	8.75%
4	35	8	16	16.25%
4	35	8	8	23.75%
4	35	8	4	27.50%
4	35	8	2	21.25%
4	40	8	32	17.50%
4	40	8	16	22.50%
4	40	8	8	23.75%
4	40	8	4	22.50%
4	40	8	2	23.75%
4	45	8	32	22.50%
4	45	8	16	22.50%
4	45	8	8	12.50%
4	45	8	4	23.75%
4	45	8	2	27.50%
4	50	8	32	27.50%
4	50	8	16	30.00%
4	50	8	8	26.25%
4	50	8	4	28.75%
4	50	8	2	22.50%
4	5	10	32	12.50%
4	5	10	16	15.00%
4	5	10	8	13.75%
4	5	10	4	13.75%
4	5	10	2	22.50%
4	10	10	32	23.75%
4	10	10	16	7.50%
4	10	10	8	12.50%
4	10	10	4	10.00%
4	10	10	2	13.75%
4	15	10	32	11.25%
4	15	10	16	11.25%
4	15	10	8	20.00%
4	15	10	4	16.25%
4	15	10	2	17.50%
4	20	10	32	23.75%
4	20	10	16	17.50%
4	20	10	8	21.25%
4	20	10	4	18.75%
4	20	10	2	26.25%
4	25	10	32	27.50%
4	25	10	16	18.75%
4	25	10	8	11.25%
4	25	10	4	20.00%
4	25	10	2	16.25%
4	30	10	32	8.75%
4	30	10	16	11.25%
4	30	10	8	22.50%
4	30	10	4	22.50%
4	30	10	2	30.00%
4	35	10	32	6.25%
4	35	10	16	25.00%
4	35	10	8	22.50%
4	35	10	4	30.00%
4	35	10	2	31.25%
4	40	10	32	20.00%
4	40	10	16	22.50%
4	40	10	8	16.25%
4	40	10	4	25.00%
4	40	10	2	22.50%
4	45	10	32	26.25%
4	45	10	16	26.25%
4	45	10	8	17.50%
4	45	10	4	30.00%
4	45	10	2	26.25%
4	50	10	32	16.25%
4	50	10	16	27.50%
4	50	10	8	20.00%
4	50	10	4	22.50%
4	50	10	2	32.50%
4	5	12	32	26.25%
4	5	12	16	13.75%
4	5	12	8	12.50%
4	5	12	4	16.25%
4	5	12	2	30.00%
4	10	12	32	15.00%
4	10	12	16	16.25%
4	10	12	8	18.75%
4	10	12	4	18.75%
4	10	12	2	21.25%
4	15	12	32	18.75%
4	15	12	16	13.75%
4	15	12	8	13.75%
4	15	12	4	20.00%
4	15	12	2	23.75%
4	20	12	32	11.25%
4	20	12	16	15.00%
4	20	12	8	13.75%
4	20	12	4	26.25%
4	20	12	2	25.00%
4	25	12	32	17.50%
4	25	12	16	17.50%
4	25	12	8	20.00%
4	25	12	4	20.00%
4	25	12	2	25.00%
4	30	12	32	22.50%
4	30	12	16	12.50%
4	30	12	8	31.25%
4	30	12	4	26.25%
4	30	12	2	22.50%
4	35	12	32	17.50%
4	35	12	16	28.75%
4	35	12	8	28.75%
4	35	12	4	33.75%
4	35	12	2	21.25%
4	40	12	32	20.00%
4	40	12	16	32.50%
4	40	12	8	23.75%
4	40	12	4	23.75%
4	40	12	2	32.50%
4	45	12	32	11.25%
4	45	12	16	17.50%
4	45	12	8	23.75%
4	45	12	4	26.25%
4	45	12	2	23.75%
4	50	12	32	23.75%
4	50	12	16	23.75%
4	50	12	8	26.25%
4	50	12	4	26.25%
4	50	12	2	25.00%
4	5	14	32	15.00%
4	5	14	16	11.25%
4	5	14	8	11.25%
4	5	14	4	17.50%
4	5	14	2	13.75%
4	10	14	32	21.25%
4	10	14	16	13.75%
4	10	14	8	11.25%
4	10	14	4	13.75%
4	10	14	2	22.50%
4	15	14	32	12.50%
4	15	14	16	15.00%
4	15	14	8	21.25%
4	15	14	4	15.00%
4	15	14	2	25.00%
4	20	14	32	15.00%
4	20	14	16	16.25%
4	20	14	8	12.50%
4	20	14	4	17.50%
4	20	14	2	21.25%
4	25	14	32	11.25%
4	25	14	16	21.25%
4	25	14	8	20.00%
4	25	14	4	20.00%
4	25	14	2	25.00%
4	30	14	32	22.50%
4	30	14	16	20.00%
4	30	14	8	25.00%
4	30	14	4	21.25%
4	30	14	2	27.50%
4	35	14	32	27.50%
4	35	14	16	26.25%
4	35	14	8	28.75%
4	35	14	4	20.00%
4	35	14	2	21.25%
4	40	14	32	17.50%
4	40	14	16	27.50%
4	40	14	8	22.50%
4	40	14	4	26.25%
4	40	14	2	32.50%
4	45	14	32	17.50%
4	45	14	16	27.50%
4	45	14	8	18.75%
4	45	14	4	21.25%
4	45	14	2	32.50%
4	50	14	32	23.75%
4	50	14	16	25.00%
4	50	14	8	28.75%
4	50	14	4	17.50%
4	50	14	2	36.25%
4	5	16	32	12.50%
4	5	16	16	11.25%
4	5	16	8	6.25%
4	5	16	4	15.00%
4	5	16	2	16.25%
4	10	16	32	27.50%
4	10	16	16	11.25%
4	10	16	8	16.25%
4	10	16	4	16.25%
4	10	16	2	17.50%
4	15	16	32	21.25%
4	15	16	16	20.00%
4	15	16	8	13.75%
4	15	16	4	12.50%
4	15	16	2	18.75%
4	20	16	32	15.00%
4	20	16	16	27.50%
4	20	16	8	20.00%
4	20	16	4	17.50%
4	20	16	2	22.50%
4	25	16	32	13.75%
4	25	16	16	17.50%
4	25	16	8	25.00%
4	25	16	4	22.50%
4	25	16	2	25.00%
4	30	16	32	20.00%
4	30	16	16	26.25%
4	30	16	8	20.00%
4	30	16	4	22.50%
4	30	16	2	31.25%
4	35	16	32	20.00%
4	35	16	16	18.75%
4	35	16	8	26.25%
4	35	16	4	30.00%
4	35	16	2	28.75%
4	40	16	32	23.75%
4	40	16	16	20.00%
4	40	16	8	26.25%
4	40	16	4	21.25%
4	40	16	2	28.75%
4	45	16	32	25.00%
4	45	16	16	17.50%
4	45	16	8	26.25%
4	45	16	4	22.50%
4	45	16	2	31.25%
4	50	16	32	20.00%
4	50	16	16	26.25%
4	50	16	8	20.00%
4	50	16	4	20.00%
4	50	16	2	27.50%
			6613.75%	
			6613.75	
Jumlah Input	Jumlah Epoch	Jumlah Neuron	Jumlah Batch Size	Akurasi (%)
8	5	2	32	18.75%
8	5	2	16	16.25%
8	5	2	8	11.25%
8	5	2	4	17.50%
8	5	2	2	16.25%
8	10	2	32	10.00%
8	10	2	16	18.75%
8	10	2	8	6.25%
8	10	2	4	13.75%
8	10	2	2	12.50%
8	15	2	32	13.75%
8	15	2	16	8.75%
8	15	2	8	8.75%
8	15	2	4	13.75%
8	15	2	2	18.75%
8	20	2	32	17.50%
8	20	2	16	11.25%
8	20	2	8	11.25%
8	20	2	4	15.00%
8	20	2	2	16.25%
8	25	2	32	15.00%
8	25	2	16	13.75%
8	25	2	8	13.75%
8	25	2	4	27.50%
8	25	2	2	13.75%
8	30	2	32	17.50%
8	30	2	16	10.00%
8	30	2	8	20.00%
8	30	2	4	13.75%
8	30	2	2	17.50%
8	35	2	32	12.50%
8	35	2	16	11.25%
8	35	2	8	18.75%
8	35	2	4	16.25%
8	35	2	2	12.50%
8	40	2	32	11.25%
8	40	2	16	22.50%
8	40	2	8	15.00%
8	40	2	4	17.50%
8	40	2	2	11.25%
8	45	2	32	12.50%
8	45	2	16	11.25%
8	45	2	8	15.00%
8	45	2	4	25.00%
8	45	2	2	22.50%
